trm_id,mer_id,hea_id,request_status,request_type
7802,20860,17969173,EXPIRED,DOWNLOAD
7803,21261,17136905,EXPIRED,DOWNLOAD
7804,21127,21678311,EXPIRED,DOWNLOAD
7806,20925,6973955,EXPIRED,DOWNLOAD
7807,21050,16852950,EXPIRED,DOWNLOAD
7808,21110,6517291,EXPIRED,DOWNLOAD
7809,20894,23420818,EXPIRED,DOWNLOAD
7811,20895,19037002,EXPIRED,DOWNLOAD
7815,20796,267502,EXPIRED,DOWNLOAD
7816,21128,5910171,EXPIRED,DOWNLOAD
7818,20957,19584190,EXPIRED,DOWNLOAD
7820,21243,10424900,EXPIRED,DOWNLOAD
7821,20873,3873671,EXPIRED,DOWNLOAD
7823,21027,232715,EXPIRED,DOWNLOAD
7824,20912,24281210,EXPIRED,DOWNLOAD
7825,20897,7881050,EXPIRED,DOWNLOAD
7826,20833,22304426,EXPIRED,DOWNLOAD
7828,21302,14829734,EXPIRED,DOWNLOAD
7832,21381,23293129,EXPIRED,DOWNLOAD
7833,21401,17738733,EXPIRED,DOWNLOAD
7834,21461,8024087,EXPIRED,DOWNLOAD
7838,21501,10061905,EXPIRED,DOWNLOAD
7839,21521,7146927,EXPIRED,DOWNLOAD
7840,21541,22713896,EXPIRED,DOWNLOAD
7842,21601,12010961,EXPIRED,DOWNLOAD
7843,21442,16962521,EXPIRED,DOWNLOAD
7845,21701,4555159,EXPIRED,DOWNLOAD
7849,21322,7959909,EXPIRED,DOWNLOAD
7851,21721,22952862,EXPIRED,DOWNLOAD
7852,21522,8285990,EXPIRED,DOWNLOAD
7853,21741,19208498,EXPIRED,DOWNLOAD
7854,21821,1437107,EXPIRED,DOWNLOAD
7857,21801,16287720,EXPIRED,DOWNLOAD
7859,21861,10629245,EXPIRED,DOWNLOAD
7860,21901,4614498,EXPIRED,DOWNLOAD
7862,21921,12821136,EXPIRED,DOWNLOAD
7863,21941,24780103,EXPIRED,DOWNLOAD
7864,21981,19433831,EXPIRED,DOWNLOAD
7867,21961,7060170,EXPIRED,DOWNLOAD
7868,21482,3581708,EXPIRED,DOWNLOAD
7871,22021,22603648,EXPIRED,DOWNLOAD
7872,22041,13324108,EXPIRED,DOWNLOAD
7873,22061,15282396,EXPIRED,DOWNLOAD
7875,21642,14759284,EXPIRED,DOWNLOAD
7877,22121,15889599,EXPIRED,DOWNLOAD
7878,22141,5384401,EXPIRED,DOWNLOAD
7879,21623,11787193,EXPIRED,DOWNLOAD
7880,22161,18768640,EXPIRED,DOWNLOAD
7881,22181,15732349,EXPIRED,DOWNLOAD
7883,22201,9891548,EXPIRED,DOWNLOAD
7884,21643,23003994,EXPIRED,DOWNLOAD
7886,22221,17886604,EXPIRED,DOWNLOAD
7888,22261,25585843,EXPIRED,DOWNLOAD
7889,22281,24141195,EXPIRED,DOWNLOAD
7890,22301,11687001,EXPIRED,DOWNLOAD
7891,21443,6799292,EXPIRED,DOWNLOAD
7892,21624,12150577,EXPIRED,DOWNLOAD
7894,21644,14781210,EXPIRED,DOWNLOAD
7895,22062,16146590,EXPIRED,DOWNLOAD
7897,22341,19536633,EXPIRED,DOWNLOAD
7898,21362,22121302,EXPIRED,DOWNLOAD
7899,21682,12997084,EXPIRED,DOWNLOAD
7900,22361,4070914,EXPIRED,DOWNLOAD
7901,22381,12134066,EXPIRED,DOWNLOAD
7904,22441,25366422,EXPIRED,DOWNLOAD
7907,21423,20143650,EXPIRED,DOWNLOAD
7908,22461,5502988,EXPIRED,DOWNLOAD
7909,21502,18197896,EXPIRED,DOWNLOAD
7912,21424,16931527,EXPIRED,DOWNLOAD
7914,22322,19783996,EXPIRED,DOWNLOAD
7915,21982,1400523,EXPIRED,DOWNLOAD
7921,22002,2248647,EXPIRED,DOWNLOAD
7922,22581,10348669,EXPIRED,DOWNLOAD
7923,21922,21593973,EXPIRED,DOWNLOAD
7924,21645,9621455,EXPIRED,DOWNLOAD
7925,21384,25713492,EXPIRED,DOWNLOAD
7926,22601,20602716,EXPIRED,DOWNLOAD
7927,21542,10944479,EXPIRED,DOWNLOAD
7929,22641,24977687,EXPIRED,DOWNLOAD
7930,21762,25887019,EXPIRED,DOWNLOAD
7931,22661,15544446,EXPIRED,DOWNLOAD
7932,22681,24787344,EXPIRED,DOWNLOAD
7936,21942,19704049,EXPIRED,DOWNLOAD
7938,22721,15665286,EXPIRED,DOWNLOAD
7940,22761,1327604,EXPIRED,DOWNLOAD
7941,21802,10391265,EXPIRED,DOWNLOAD
7946,21843,21508198,EXPIRED,DOWNLOAD
7947,22142,15590067,EXPIRED,DOWNLOAD
7948,21962,22061978,EXPIRED,DOWNLOAD
7950,22084,9671623,EXPIRED,DOWNLOAD
7951,22781,24293344,EXPIRED,DOWNLOAD
7953,22122,877998,EXPIRED,DOWNLOAD
7956,22262,19486054,EXPIRED,DOWNLOAD
7957,22642,14836866,EXPIRED,DOWNLOAD
7958,21646,14291864,EXPIRED,DOWNLOAD
7959,22801,11554009,EXPIRED,DOWNLOAD
7960,22821,4231160,EXPIRED,DOWNLOAD
7963,22065,25952578,EXPIRED,DOWNLOAD
7966,22342,11232364,EXPIRED,DOWNLOAD
7969,22664,24992032,EXPIRED,DOWNLOAD
7970,22643,9900447,EXPIRED,DOWNLOAD
7971,21647,7375798,EXPIRED,DOWNLOAD
7973,21683,24207975,EXPIRED,DOWNLOAD
7974,22881,26056404,EXPIRED,DOWNLOAD
7975,22702,2937436,EXPIRED,DOWNLOAD
7976,21425,5315632,EXPIRED,DOWNLOAD
7978,22901,10520347,EXPIRED,DOWNLOAD
7979,22442,11179997,EXPIRED,DOWNLOAD
7981,22665,1353570,EXPIRED,DOWNLOAD
7982,21983,2933086,EXPIRED,DOWNLOAD
7983,22644,24646106,EXPIRED,DOWNLOAD
7985,21705,21731401,EXPIRED,DOWNLOAD
7986,21923,17544384,EXPIRED,DOWNLOAD
7987,22921,25097496,EXPIRED,DOWNLOAD
7990,22482,14636862,EXPIRED,DOWNLOAD
7992,22981,8025790,EXPIRED,DOWNLOAD
7994,21844,23980307,EXPIRED,DOWNLOAD
7995,22562,20923814,EXPIRED,DOWNLOAD
7998,23001,15712842,EXPIRED,DOWNLOAD
8000,21543,17762518,EXPIRED,DOWNLOAD
8001,22463,18653323,EXPIRED,DOWNLOAD
8003,21943,2397526,EXPIRED,DOWNLOAD
8004,23021,1178866,EXPIRED,DOWNLOAD
8005,22143,17359145,EXPIRED,DOWNLOAD
8009,21444,15640444,EXPIRED,DOWNLOAD
8012,22086,9531020,EXPIRED,DOWNLOAD
8015,21427,5145698,EXPIRED,DOWNLOAD
8016,23081,7066043,EXPIRED,DOWNLOAD
8017,21583,19843121,EXPIRED,DOWNLOAD
8018,22982,25695115,EXPIRED,DOWNLOAD
8019,22023,10096017,EXPIRED,DOWNLOAD
8020,22667,18909353,EXPIRED,DOWNLOAD
8021,22802,5565324,EXPIRED,DOWNLOAD
8022,23101,126044,EXPIRED,DOWNLOAD
8023,23121,236691,EXPIRED,DOWNLOAD
8024,23141,176167,EXPIRED,DOWNLOAD
8025,23161,223314,EXPIRED,DOWNLOAD
8026,23201,177011,EXPIRED,DOWNLOAD
8027,23221,182578,EXPIRED,DOWNLOAD
8029,23261,165549,EXPIRED,DOWNLOAD
8030,23241,239279,EXPIRED,DOWNLOAD
8031,23281,197964,EXPIRED,DOWNLOAD
8032,23301,184098,EXPIRED,DOWNLOAD
8033,23341,218719,EXPIRED,DOWNLOAD
8034,23361,144557,EXPIRED,DOWNLOAD
8036,23302,109868,EXPIRED,DOWNLOAD
8037,23202,239280,EXPIRED,DOWNLOAD
8038,23102,241866,EXPIRED,DOWNLOAD
8039,23381,125050,EXPIRED,DOWNLOAD
8040,23401,167193,EXPIRED,DOWNLOAD
8041,23342,250470,EXPIRED,DOWNLOAD
8042,23421,255096,EXPIRED,DOWNLOAD
8044,23103,276781,EXPIRED,DOWNLOAD
8045,23322,260661,EXPIRED,DOWNLOAD
8046,23441,175748,EXPIRED,DOWNLOAD
8049,23222,264924,EXPIRED,DOWNLOAD
8050,23461,211567,EXPIRED,DOWNLOAD
8052,23481,103502,EXPIRED,DOWNLOAD
8058,23262,385996,EXPIRED,DOWNLOAD
8059,23403,429014,EXPIRED,DOWNLOAD
8061,23343,480547,EXPIRED,DOWNLOAD
8062,23143,507685,EXPIRED,DOWNLOAD
